user,bot
"tôi muốn đặt lịch hẹn vào thứ 3","bạn đang muốn booking"
"bác sĩ ở quận 1","bạn đang muốn hỏi doctor"
"phòng khám chuyên mắt ở bình dương","bạn đang muốn hỏi clinic"
"bệnh viện ở quận 5","bạn đang muốn hỏi hospital"
"tôi có triệu chứng sốt cao","bạn đang muốn hỏi symptom"
"tôi cần thông tin về thuốc an thần","bạn đang muốn hỏi consultant"
"tôi thấy dịch vụ rất tốt","bạn đang muốn hỏi patient"
"tôi nên tập thể dục nhưu thế nào","bạn đang muốn hỏi health"
"bệnh viện ở quận 7","bạn đang muốn hỏi hospital phải không"
"bệnh viện ở quận 8","bạn đang muốn hỏi hospital phải không 1"
"bệnh viện ở quận bình thạnh","bạn đang muốn hỏi hospital phải không 12"